Date,KQI,IP,CPI,PPI
2004/1/31,,,3.2,3.5
2004/2/29,21.1542,16.6,2.1,3.5
2004/3/31,20.2145,17.7,3,4
2004/4/30,20.2844,18.2,3.8,5
2004/5/31,19.682,18.1,4.4,5.7
2004/6/30,18.0874,17.7,5,6.4
2004/7/31,16.9761,17.3,5.3,6.4
2004/8/31,16.5753,17.1,5.3,6.8
2004/9/30,16.0256,17,5.2,7.9
2004/10/31,16.1853,16.9,4.3,8.4
2004/11/30,16.2595,16.8,2.8,8.1
2004/12/31,,16.7,2.4,7.1
2005/1/31,,,1.9,5.8
2005/2/28,14.6004,16.9,3.9,5.38
2005/3/31,14.0314,16.2,2.7,5.6
2005/4/30,13.8775,16.2,1.8,5.78
2005/5/31,13.7473,16.3,1.8,5.9
2005/6/30,13.7588,16.4,1.6,5.2
2005/7/31,13.4459,16.3,1.8,5.2
2005/8/31,13.2564,16.3,1.3,5.3
2005/9/30,13.1614,16.3,0.9,4.5
2005/10/31,12.8386,16.3,1.2,4
2005/11/30,12.2934,16.4,1.3,3.2
2005/12/31,11.9484,16.4,1.6,3.2
2006/1/31,,,1.9,3.05
2006/2/28,10.0228,16.2,0.9,3.01
2006/3/31,10.9898,16.7,0.8,2.49
2006/4/30,11.9154,16.7,1.2,1.87
2006/5/31,12.6637,17,1.4,2.43
2006/6/30,13.6196,17.7,1.5,3.52
2006/7/31,14.439,17.6,1,3.58
2006/8/31,15.0206,17.3,1.3,3.4
2006/9/30,15.007,17.2,1.5,3.5
2006/10/31,15.2819,16.9,1.4,2.9
2006/11/30,15.4613,16.8,1.9,2.78
2006/12/31,,16.6,2.8,3.1
2007/1/31,,,2.2,3.3
2007/2/28,19.383,18.5,2.7,2.6
2007/3/31,17.5303,18.3,3.3,2.7
2007/4/30,17.6485,18,3,2.9
2007/5/31,17.7146,18.1,3.4,2.8
2007/6/30,17.6363,18.5,4.4,2.49
2007/7/31,17.6651,18.5,5.6,2.4
2007/8/31,17.5091,18.4,6.5,2.6
2007/9/30,17.4546,18.5,6.2,2.7
2007/10/31,17.4582,18.5,6.5,3.2
2007/11/30,17.2259,18.5,6.9,4.55
2007/12/31,16.7698,18.5,6.5,5.43
2008/1/31,,,7.1,6.1
2008/2/29,14.1383,15.4,8.7,6.62
2008/3/31,14.7312,16.4,8.3,7.95
2008/4/30,14.9533,16.3,8.5,8.12
2008/5/31,14.8856,16.3,7.7,8.22
2008/6/30,13.8364,16.3,7.1,8.84
2008/7/31,13.4875,16.1,6.3,10.03
2008/8/31,12.9887,15.7,4.9,10.06
2008/9/30,12.3805,15.2,4.6,9.13
2008/10/31,11.0921,14.4,4,6.59
2008/11/30,9.4556,13.7,2.4,1.99
2008/12/31,8.9564,12.9,1.2,-1.14
2009/1/31,,,1,-3.35
2009/2/28,1.0646,3.8,-1.6,-4.47
2009/3/31,3.5548,5.1,-1.2,-6
2009/4/30,4.1641,5.5,-1.5,-6.6
2009/5/31,5.2263,6.3,-1.4,-7.2
2009/6/30,7.7516,7,-1.7,-7.8
2009/7/31,9.1667,7.5,-1.8,-8.2
2009/8/31,10.6442,8.1,-1.2,-7.86
2009/9/30,12.0183,8.7,-0.8,-6.99
2009/10/31,13.6257,9.4,-0.5,-5.85
2009/11/30,15.9355,10.3,0.6,-2.08
2009/12/31,17.5388,11,1.9,1.7
2010/1/31,,,1.5,4.32
2010/2/28,33.6573,20.7,2.7,5.39
2010/3/31,31.1121,19.6,2.4,5.91
2010/4/30,30.1716,19.1,2.8,6.81
2010/5/31,29.3691,18.5,3.1,7.13
2010/6/30,26.6406,17.6,2.9,6.41
2010/7/31,25.2882,17,3.3,4.84
2010/8/31,23.932,16.6,3.5,4.32
2010/9/30,22.4149,16.3,3.6,4.33
2010/10/31,,,4.4,5.04
2010/11/30,,,5.1,6.06
2010/12/31,19.0835,15.7,4.6,5.93
2011/1/31,,,4.9,6.6
2011/2/28,14.1036,14.1,4.944,7.23
2011/3/31,13.9314,14.4,5.383,7.31
2011/4/30,13.4297,14.2,5.344,6.82
2011/5/31,12.8207,14,5.515,6.79
2011/6/30,12.4899,14.3,6.355,7.12
2011/7/31,12.0922,14.3,6.451,7.54
2011/8/31,11.745,14.2,6.151,7.25
2011/9/30,11.4951,14.2,6.067,6.52
2011/10/31,11.4449,14.1,5.495,5
2011/11/30,11.1957,14,4.225,2.72
2011/12/31,11.0684,13.9,4.07,1.69
2012/1/31,,,4.5,0.73
2012/2/29,6.5128,11.4,3.2,0.03
2012/3/31,6.1261,11.6,3.6,-0.32
2012/4/30,5.6424,11,3.4,-0.7
2012/5/31,5.6348,10.7,3,-1.4
2012/6/30,5.3546,10.5,2.2,-2.08
2012/7/31,4.8963,10.3,1.8,-2.87
2012/8/31,4.4813,10.1,2,-3.48
2012/9/30,4.3559,10,1.9,-3.55
2012/10/31,4.3229,10,1.7,-2.76
2012/11/30,4.3855,10,2,-2.2
2012/12/31,4.5973,10,2.5,-1.94
2013/1/31,,,2.0305,-1.64
2013/2/28,5.0827,9.9,3.2198,-1.63
2013/3/31,4.9121,9.5,2.0696,-1.92
2013/4/30,5.1603,9.4,2.3861,-2.62
2013/5/31,5.009,9.4,2.0981,-2.87
2013/6/30,5.2545,9.3,2.6684,-2.7
2013/7/31,5.9005,9.4,2.6741,-2.27
2013/8/31,6.6529,9.5,2.5666,-1.62
2013/9/30,7.1036,9.6,3.0519,-1.34
2013/10/31,7.3579,9.7,3.2058,-1.51
2013/11/30,7.5677,9.7,3.018,-1.42
2013/12/31,7.7176,9.7,2.4987,-1.36
2014/1/31,,,2.4861,-1.64
2014/2/28,5.5694,8.6,1.9511,-2
2014/3/31,5.896,8.7,2.3848,-2.3019
2014/4/30,5.85,8.7,1.8014,-2.0042
2014/5/31,6.1385,8.7,2.4773,-1.4464
2014/6/30,6.2566,8.8,2.3361,-1.1092
2014/7/31,6.0286,8.8,2.2852,-0.8688
2014/8/31,5.7235,8.5,1.9909,-1.2038
2014/9/30,5.6227,8.5,1.6275,-1.7996
2014/10/31,5.4836,8.4,1.6011,-2.2428
2014/11/30,5.5068,8.3,1.4393,-2.6928
2014/12/31,5.8311,8.3,1.5056,-3.3152
2015/1/31,,,0.7638,-4.3202
2015/2/28,3.749,6.8,1.4311,-4.7976
2015/3/31,2.817735,6.4,1.3758,-4.5603
2015/4/30,2.607371,6.2,1.5091,-4.5725
2015/5/31,2.403283,6.2,1.2308,-4.607
2015/6/30,2.523232,6.3,1.3909,-4.8135
2015/7/31,2.25244,6.3,1.6473,-5.3692
2015/8/31,2.103872,6.3,1.9554,-5.9227
2015/9/30,2.009261,6.2,1.5956,-5.945
2015/10/31,1.812531,6.1,1.2674,-5.9
2015/11/30,1.64,6.1,1.4856,-5.9
2015/12/31,1.48,6.1,1.6,-5.9
2016/1/31,,,1.8,-5.3
2016/2/29,1.87,5.4,2.3,-4.9
2016/3/31,3.33,5.8,2.301391,-4.3
2016/4/30,3.52,5.8,2.327865,-3.4
2016/5/31,3.77,5.9,2.038999,-2.8
2016/6/30,4.08,6,1.879503,-2.6
2016/7/31,4.68,6,1.765113,-1.7
2016/8/31,5.16,6,1.339773,-0.8
2016/9/30,5.64,6,1.920226,0.1
2016/10/31,6.24,6,2.095947,1.2
2016/11/30,6.91,6,2.252258,3.3
2016/12/31,7.5,6,2.076545,5.5
2017/1/31,,,2.549055,6.9
2017/2/28,13.3,6.3,0.8,7.8
2017/3/31,13.78,6.8,0.9,7.6
2017/4/30,13.77,6.7,1.2,6.4
2017/5/31,13.5,6.7,1.5,5.5
2017/6/30,13.37,6.9,1.5,5.5
2017/7/31,13.78,6.8,1.4,5.5
2017/8/31,13.55,6.7,1.8,6.3
2017/9/30,13.18,6.7,1.6,6.9
2017/10/31,12.73,6.7,1.9,6.9
2017/11/30,12.28,6.6,1.7,5.8
2017/12/31,11.46,6.6,1.8,4.9
